user,repo,fun_exported
jrnold,ggthemes,extended_range_breaks_
jrnold,ggthemes,few_pal
jrnold,ggthemes,few_shape_pal
jrnold,ggthemes,fivethirtyeight_pal
jrnold,ggthemes,gdocs_pal
jrnold,ggthemes,geom_rangeframe
jrnold,ggthemes,geom_tufteboxplot
jrnold,ggthemes,hc_pal
jrnold,ggthemes,palette_pander
jrnold,ggthemes,ptol_pal
jrnold,ggthemes,scale_color_calc
jrnold,ggthemes,scale_color_canva
jrnold,ggthemes,scale_color_colorblind
jrnold,ggthemes,scale_color_continuous_tableau
jrnold,ggthemes,scale_color_economist
jrnold,ggthemes,scale_color_excel
jrnold,ggthemes,scale_color_excel_new
jrnold,ggthemes,scale_color_few
jrnold,ggthemes,scale_color_fivethirtyeight
jrnold,ggthemes,scale_color_gdocs
jrnold,ggthemes,scale_color_gradient2_tableau
jrnold,ggthemes,scale_color_gradient_tableau
jrnold,ggthemes,scale_color_hc
jrnold,ggthemes,scale_color_pander
jrnold,ggthemes,scale_color_ptol
jrnold,ggthemes,scale_color_solarized
jrnold,ggthemes,scale_color_stata
jrnold,ggthemes,scale_color_tableau
jrnold,ggthemes,scale_color_wsj
jrnold,ggthemes,scale_colour_calc
jrnold,ggthemes,scale_colour_canva
jrnold,ggthemes,scale_colour_colorblind
jrnold,ggthemes,scale_colour_economist
jrnold,ggthemes,scale_colour_excel
jrnold,ggthemes,scale_colour_excel_new
jrnold,ggthemes,scale_colour_few
jrnold,ggthemes,scale_colour_fivethirtyeight
jrnold,ggthemes,scale_colour_gdocs
jrnold,ggthemes,scale_colour_gradient2_tableau
jrnold,ggthemes,scale_colour_gradient_tableau
jrnold,ggthemes,scale_colour_hc
jrnold,ggthemes,scale_colour_pander
jrnold,ggthemes,scale_colour_ptol
